T,P_sat,vol_f,vol_g,h_f,h_g,mu_f,k_f,Pr_f,mu_g
226,2597818.1,0.001201235,0.076965227,971415.96,2802342.8,0.000118137,0.65136317,0.84458868,1.66224E-05
227,2646581.9,0.001203139,0.075556101,976085.54,2802511.6,0.00011759,0.65050819,0.8431207,1.66579E-05
228,2696048.2,0.001205059,0.074176905,980762.31,2802662,0.000117047,0.64964448,0.8417006,1.66934E-05
229,2746223.8,0.001206993,0.072826887,985446.34,2802793.9,0.000116508,0.64877207,0.84032815,1.6729E-05
230,2797115.6,0.001208944,0.071505314,990137.74,2802907.1,0.000115974,0.64789093,0.83900317,1.67646E-05
231,2848730.5,0.00121091,0.070211475,994836.59,2803001.4,0.000115445,0.64700108,0.83772548,1.68003E-05
232,2901075.4,0.001212893,0.068944681,999542.99,2803076.6,0.00011492,0.64610252,0.83649493,1.68361E-05
233,2954157.2,0.001214891,0.06770426,1004257,2803132.6,0.0001144,0.64519524,0.83531137,1.68719E-05
234,3007982.9,0.001216906,0.06648956,1008978.8,2803169.2,0.000113883,0.64427923,0.83417468,1.69078E-05
235,3062559.7,0.001218938,0.065299948,1013708.5,2803186.2,0.000113371,0.64335451,0.83308476,1.69438E-05
236,3117894.4,0.001220987,0.064134807,1018446.1,2803183.3,0.000112863,0.64242106,0.83204151,1.69799E-05
237,3173994.2,0.001223053,0.062993539,1023191.7,2803160.5,0.000112358,0.64147888,0.83104485,1.7016E-05
238,3230866.3,0.001225136,0.061875562,1027945.5,2803117.5,0.000111858,0.64052796,0.83009474,1.70523E-05
239,3288517.7,0.001227237,0.06078031,1032707.6,2803054.1,0.000111361,0.6395683,0.82919112,1.70886E-05
240,3346955.7,0.001229356,0.059707234,1037478,2802970.1,0.000110869,0.63859989,0.82833399,1.7125E-05
241,3406187.5,0.001231493,0.058655798,1042256.9,2802865.3,0.00011038,0.63762272,0.82752333,1.71615E-05
242,3466220.4,0.001233648,0.057625481,1047044.4,2802739.5,0.000109894,0.63663679,0.82675916,1.71981E-05
243,3527061.6,0.001235822,0.056615778,1051840.7,2802592.5,0.000109413,0.63564208,0.82604152,1.72348E-05
244,3588718.5,0.001238015,0.055626198,1056645.7,2802424.1,0.000108934,0.63463858,0.82537046,1.72715E-05
245,3651198.5,0.001240228,0.05465626,1061459.7,2802234,0.00010846,0.63362628,0.82474604,1.73084E-05
246,3714508.9,0.00124246,0.053705498,1066282.7,2802022,0.000107988,0.63260517,0.82416836,1.73454E-05
